S NO,"APPLN
NO","AGGR
MARK",RANK,"COMMU
NITY","COLLEGE
CODE","BRANCH
CODE","ALLOTTED
CATEGORY",CLG NM,BRNCH
1,331205,200,1,BC,1,CS,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
2,325132,200,3,BC,1,CS,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
3,269347,200,6,BC,2006,CM,OC,"PSG Clge of Tech (Aut), Peelamedu, Coimbatore DT 641004",Computer Science and Engg (SS)
4,289687,200,7,BC,1,CS,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
5,323336,200,8,BC,1,CS,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
6,210660,200,9,OC,1,CS,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
7,252764,200,10,BC,1,CS,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
8,318554,200,11,OC,1,BY,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Bio­ Medical Engg (SS)
9,395088,200,13,OC,1,CS,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
10,317150,200,14,BC,1,CS,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
11,338638,200,15,BC,1,CS,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
12,294093,200,17,BC,1,CS,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
13,205679,200,18,BC,1,CS,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
14,235064,200,19,SC,1,CS,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
15,291381,200,20,BC,1,CS, ,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
16,252017,200,21,BC,1,CS,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
17,324559,200,22,BC,1,CS,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
18,283391,200,23,BC,1,CS,BC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
19,302352,200,24,BCM,5008,CS,OC,"Thiagarajar Clg of Engg (Aut), Tirupparankundram, Madurai DT 625015",Computer Science and Engg
20,311775,200,25,BC,1,CS,BC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
21,224065,200,26,BC,1,CS,BC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
22,315985,200,27,BC,1,CS,BC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
23,311701,200,28,BC,1,CS,BC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
24,215665,200,30,BC,1,EC,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Electronics and Communication Engg
25,227023,200,31,OC,2006,CM,OC,"PSG Clge of Tech (Aut), Peelamedu, Coimbatore DT 641004",Computer Science and Engg (SS)
26,294824,200,32,OC,1,CM,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg (SS)
27,275572,200,33,BC,1,CS,BC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
28,327533,200,35,OC,1,EC,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Electronics and Communication Engg
29,288370,200,36,OC,2006,CM,OC,"PSG Clge of Tech (Aut), Peelamedu, Coimbatore DT 641004",Computer Science and Engg (SS)
30,269079,200,38,OC,1,CM,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg (SS)
31,293015,200,39,OC,1,CM,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg (SS)
32,284191,200,41,BC,2006,CM,OC,"PSG Clge of Tech (Aut), Peelamedu, Coimbatore DT 641004",Computer Science and Engg (SS)
33,387189,200,42,BC,1,CS,BC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
34,272029,200,43,MBC,1,CS,MBC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
35,315595,200,44,BC,1,CS,BC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
36,360565,200,45,OC,1,CM,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg (SS)
37,394980,200,46,MBC,1,CS,MBC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
38,299620,200,48,BC,2006,EC,OC,"PSG Clge of Tech (Aut), Peelamedu, Coimbatore DT 641004",Electronics and Communication Engg
39,289288,200,49,BC,1,EC,OC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Electronics and Communication Engg
40,325749,200,50,BC,1,CS,BC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
41,255577,200,51,BC,1,CS,BC,"Anna Univ - CEG Campus, Sardar Patel Road, Guindy, CHN 600 025",Computer Science and Engg
42,251086,200,52,BC,2006,CM,OC,"PSG Clge of Tech (Aut), Peelamedu, Coimbatore DT 641004",Computer Science and Engg (SS)
